INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch GCC as the compiler.
make: 'csim.exe' is up to date.
Iter 0	 Led = 0
Iter 1	 Led = 0
Iter 2	 Led = 0
Iter 3	 Led = 0
Iter 4	 Led = 0
Iter 5	 Led = 0
Iter 6	 Led = 0
Iter 7	 Led = 0
Iter 8	 Led = 0
Iter 9	 Led = 0
Iter 10	 Led = 0
Iter 11	 Led = 0
Iter 12	 Led = 0
Iter 13	 Led = 0
Iter 14	 Led = 0
Iter 15	 Led = 0
Iter 16	 Led = 0
Iter 17	 Led = 0
Iter 18	 Led = 0
Iter 19	 Led = 0
Iter 20	 Led = 0
Iter 21	 Led = 0
Iter 22	 Led = 0
Iter 23	 Led = 0
Iter 24	 Led = 0
Iter 25	 Led = 0
Iter 26	 Led = 0
Iter 27	 Led = 0
Iter 28	 Led = 0
Iter 29	 Led = 0
Iter 30	 Led = 0
Iter 31	 Led = 0
Iter 32	 Led = 0
Iter 33	 Led = 0
Iter 34	 Led = 0
Iter 35	 Led = 0
Iter 36	 Led = 0
Iter 37	 Led = 0
Iter 38	 Led = 0
Iter 39	 Led = 0
Iter 40	 Led = 0
Iter 41	 Led = 0
Iter 42	 Led = 0
Iter 43	 Led = 0
Iter 44	 Led = 0
Iter 45	 Led = 0
Iter 46	 Led = 0
Iter 47	 Led = 0
Iter 48	 Led = 0
Iter 49	 Led = 1
Iter 50	 Led = 1
Iter 51	 Led = 1
Iter 52	 Led = 1
Iter 53	 Led = 1
Iter 54	 Led = 1
Iter 55	 Led = 1
Iter 56	 Led = 1
Iter 57	 Led = 1
Iter 58	 Led = 1
Iter 59	 Led = 1
Iter 60	 Led = 1
Iter 61	 Led = 1
Iter 62	 Led = 1
Iter 63	 Led = 1
Iter 64	 Led = 1
Iter 65	 Led = 1
Iter 66	 Led = 1
Iter 67	 Led = 1
Iter 68	 Led = 1
Iter 69	 Led = 1
Iter 70	 Led = 1
Iter 71	 Led = 1
Iter 72	 Led = 1
Iter 73	 Led = 1
Iter 74	 Led = 1
Iter 75	 Led = 1
Iter 76	 Led = 1
Iter 77	 Led = 1
Iter 78	 Led = 1
Iter 79	 Led = 1
Iter 80	 Led = 1
Iter 81	 Led = 1
Iter 82	 Led = 1
Iter 83	 Led = 1
Iter 84	 Led = 1
Iter 85	 Led = 1
Iter 86	 Led = 1
Iter 87	 Led = 1
Iter 88	 Led = 1
Iter 89	 Led = 1
Iter 90	 Led = 1
Iter 91	 Led = 1
Iter 92	 Led = 1
Iter 93	 Led = 1
Iter 94	 Led = 1
Iter 95	 Led = 1
Iter 96	 Led = 1
Iter 97	 Led = 1
Iter 98	 Led = 1
Iter 99	 Led = 0


>>>	End	simulation	<<<

INFO: [SIM 1] CSim done with 0 errors.
INFO: [SIM 3] *************** CSIM finish ***************
